SUM of COVID-19 Deaths,Age Group,,,,,,,,,,,
Week ending Date,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85 years and over,Grand Total
,0,,,,,,,,,,,0
02/01/2020,,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,,0,0,0,0,0,0,1,0,0,0,1
02/15/2020,,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,,0,0,0,1,0,0,2,1,0,1,5
02/29/2020,,0,0,0,1,1,0,1,3,2,1,9
03/07/2020,,0,0,1,1,0,0,5,10,7,11,35
03/14/2020,,0,0,0,0,1,0,5,17,15,15,53
03/21/2020,,1,1,5,19,41,1,66,141,156,140,571
03/28/2020,,0,6,39,112,246,1,464,709,831,742,3150
04/04/2020,,0,14,114,265,691,0,1466,2328,2665,2464,10007
04/11/2020,,1,24,109,305,850,2,2173,3614,4406,4686,16170
04/18/2020,,0,17,121,283,793,0,2014,3548,4610,5666,17052
04/25/2020,,0,23,73,208,689,1,1746,3043,4173,5455,15411
05/02/2020,,0,13,78,203,516,3,1395,2616,3482,4823,13129
05/09/2020,,1,19,57,170,458,3,1266,2280,2900,3998,11152
05/16/2020,,1,11,56,142,418,3,1003,1798,2323,3394,9149
05/23/2020,,0,6,60,109,327,0,849,1442,1840,2510,7143
05/30/2020,,1,11,36,101,302,0,703,1273,1529,2139,6095
06/06/2020,,2,6,40,103,295,0,578,1061,1257,1632,4974
06/13/2020,,0,7,50,99,254,1,573,858,1055,1279,4176
06/20/2020,,1,10,32,100,233,0,508,757,950,1194,3785
06/27/2020,,2,12,32,87,259,0,530,785,940,1095,3742
07/04/2020,,0,17,64,140,310,2,617,949,1067,1249,4415
07/11/2020,,1,20,71,189,352,3,817,1239,1458,1449,5599
07/18/2020,,0,21,92,185,439,1,993,1560,1787,1855,6933
07/25/2020,,0,23,73,212,488,3,1094,1849,2083,2036,7861
08/01/2020,,0,19,52,183,462,4,1099,1823,2079,2045,7766
08/08/2020,,1,13,50,159,413,1,984,1675,1979,1916,7191
08/15/2020,,1,16,42,137,350,0,855,1416,1760,1722,6299
08/22/2020,,1,15,34,87,284,1,689,1175,1358,1407,5051
08/29/2020,,0,7,19,58,153,0,453,810,971,1090,3561
09/05/2020,,0,1,5,15,64,0,162,300,385,440,1372
09/12/2020,,0,1,0,1,4,0,23,48,67,70,214
